"id","ingredient_id","calories","fat","carbohydrates","protein","fiber"
1,1,2.0600,0.1240,0.0000,0.2210,0.0000
2,2,1.5900,0.0826,0.0000,0.2110,0.0000
3,3,1.0400,0.0080,0.0000,0.2260,0.0000
4,4,1.2800,0.0265,0.0000,0.2620,0.0000
5,5,0.9500,0.0046,0.1500,0.0762,0.0050
6,6,1.6600,0.0324,0.0000,0.3210,0.0000
7,7,3.7800,0.3520,0.0070,0.1520,0.0000
8,8,0.5200,0.0008,0.0236,0.1070,0.0000
9,9,3.2800,0.2880,0.0102,0.1620,0.0000
10,10,1.4300,0.0996,0.0096,0.1240,0.0000
11,11,2.1900,0.1140,0.0000,0.2730,0.0000
12,12,5.0100,0.3650,0.0210,0.4000,0.0000
13,13,2.7300,0.1910,0.0558,0.1970,0.0000
14,14,4.2000,0.2800,0.1240,0.2960,0.0000
15,15,0.6000,0.0000,0.0462,0.1000,0.0000
16,16,3.6600,0.0331,0.7660,0.0725,0.0300
17,17,3.5900,0.0103,0.8000,0.0704,0.0010
18,18,2.8000,0.0600,0.4800,0.0800,0.0200
19,19,2.0000,0.0200,0.4200,0.0400,0.0400
20,20,3.8300,0.0548,0.6850,0.1410,0.0490
21,21,3.8100,0.0580,0.6980,0.1250,0.1200
22,22,3.6500,0.0474,0.7430,0.0940,0.0730
23,23,3.8500,0.0660,0.6950,0.1190,0.0630
24,24,5.6700,0.4000,0.3000,0.2330,0.2330
25,25,0.5500,0.0485,0.0085,0.0318,0.0330
26,26,3.5700,0.0010,0.8820,0.0030,0.0340
27,27,5.9800,0.4500,0.2770,0.2050,0.0700
28,28,7.3000,0.6970,0.1090,0.1460,0.0520
29,29,5.6500,0.3890,0.3630,0.1740,0.0410
30,30,2.7200,0.0242,0.5190,0.1080,0.0220
31,31,2.5400,0.0355,0.4310,0.1230,0.0600
32,32,3.1100,0.0778,0.4890,0.1110,0.0890
33,33,4.2700,0.2750,0.3630,0.0896,0.0150
34,34,3.4100,0.0142,0.6240,0.2160,0.1550
35,35,1.6400,1.3900,0.2250,0.0705,0.0640
36,36,0.3900,0.0034,0.0627,0.0257,0.0240
37,37,0.2700,0.0062,0.0241,0.0285,0.0160
38,38,0.2800,0.0060,0.0264,0.0291,0.0160
39,39,0.2500,0.0066,0.0365,0.0258,0.0160
40,40,0.4300,0.0149,0.0442,0.0292,0.0410
41,41,0.1700,0.0007,0.0337,0.0074,0.0000
42,42,0.3400,0.0021,0.0679,0.0124,0.0000
43,43,0.3100,0.0023,0.0638,0.0096,0.0000
44,44,0.1600,0.0018,0.0295,0.0062,0.0070
45,45,0.2200,0.0042,0.0384,0.0070,0.0100
46,46,0.3100,0.0063,0.0551,0.0083,0.0210
47,47,1.6000,0.1470,0.0853,0.0200,0.0670
48,48,0.7900,0.0038,0.1730,0.0158,0.0444
49,49,0.4500,0.0010,0.1200,0.0100,0.0200
50,50,0.8300,0.0036,0.1780,0.0227,0.1490
51,51,0.7600,0.0025,0.1630,0.0206,0.1380
52,52,0.7300,0.0026,0.1600,0.0181,0.1380
53,53,0.4400,0.0010,0.0993,0.0094,0.0220
54,54,0.3600,0.0013,0.0768,0.0089,0.0120
55,55,0.3800,0.0005,0.0861,0.0083,0.0190
56,56,0.2700,0.0047,0.0574,0.0097,0.0180
57,57,0.7200,0.0010,0.1680,0.0250,0.0320
58,58,0.4100,0.0014,0.0908,0.0080,0.0270
59,59,0.4800,0.0035,0.1030,0.0094,0.0310
60,60,0.2300,0.0011,0.0478,0.0072,0.0090
61,61,0.3200,0.0016,0.0670,0.0088,0.0100
62,62,0.3100,0.0013,0.0665,0.0090,0.0120
63,63,0.3100,0.0012,0.0660,0.0082,0.0110
64,64,0.3100,0.0037,0.0408,0.0289,0.0170
65,65,0.8100,0.0040,0.1440,0.0542,0.0570
66,66,0.2500,0.0028,0.0497,0.0192,0.0200
67,67,1.4300,0.0038,0.2820,0.0662,0.0270
68,68,1.8000,0.0017,0.0956,0.0161,0.0280
69,69,0.6400,0.0031,0.1460,0.0070,0.0000
70,70,0.9800,0.0029,0.2300,0.0074,0.0170
71,71,0.5700,0.0019,0.1290,0.0101,0.0000
72,72,0.3600,0.0022,0.0796,0.0064,0.0000
73,73,0.6000,0.0038,0.1500,0.0082,0.0160
74,74,0.2200,0.0024,0.0690,0.0035,0.0030
75,75,0.6400,0.0044,0.1400,0.0106,0.0300
76,76,0.3000,0.0015,0.0755,0.0061,0.0040
77,77,8.8400,1.0000,0.0000,0.0000,0.0000
78,78,8.8400,1.0000,0.0000,0.0000,0.0000
79,79,8.8400,1.0000,0.0000,0.0000,0.0000
80,80,8.9500,0.9910,0.0084,0.0000,0.0000
81,81,7.1700,0.8110,0.0006,0.0085,0.0000
82,82,8.9700,0.9950,0.0000,0.0000,0.0000
83,83,0.6000,0.0010,0.0557,0.1050,0.0080
84,84,1.0000,0.0000,0.0000,0.0000,0.0000
85,85,3.8700,0.0645,0.4190,0.3870,0.3550
86,86,3.3300,0.0000,0.3330,0.5000,0.0000
87,87,4.6200,0.1150,0.3850,0.4620,0.0770
88,88,6.3200,0.4940,0.2270,0.2400,0.0630
89,89,0.4800,0.0275,0.0510,0.0080,0.0075
90,90,0.3300,0.0208,0.0292,0.0042,0.0000
91,91,0.1700,0.0167,0.0042,0.0000,0.0000
92,92,4.0100,0.0032,0.9960,0.0000,0.0000
93,93,3.0400,0.0000,0.8240,0.0030,0.0020
94,94,4.7500,0.1750,0.7500,0.0500,0.0250
95,95,2.9000,0.0010,0.7470,0.0000,0.0000
96,96,3.8000,0.0000,0.9810,0.0012,0.0000
97,97,0.8200,0.0047,0.1890,0.0432,0.0410
98,98,4.0000,0.2200,0.5000,0.1200,0.0800
99,99,3.9700,0.0323,0.0968,0.7742,0.0000
100,100,4.1600,0.0000,0.5000,0.1667,0.1667
